image_name,class_label,accuracy
4105.png,4,1
7342.png,3,1
3124.png,4,0
8717.png,0,1
7430.png,6,1
4688.png,2,1
502.png,6,1
8298.png,0,1
5964.png,1,1
4267.png,2,1
4273.png,2,1
8313.png,3,1
4703.png,3,0
3078.png,3,0
5347.png,5,1
8677.png,3,1
310.png,3,1
304.png,3,1
448.png,6,1
1862.png,3,0
8852.png,8,1
6880.png,0,0
6102.png,4,0
138.png,6,0
8339.png,2,0
7195.png,1,1
3330.png,0,1
6260.png,8,1
4305.png,0,1
4846.png,8,1
3697.png,0,1
2562.png,1,1
9345.png,3,1
2577.png,1,0
5218.png,3,1
6705.png,1,0
9146.png,6,0
1283.png,8,1
3480.png,7,0
2615.png,1,1
1452.png,1,1
3537.png,8,1
5813.png,3,1
3286.png,3,0
8648.png,1,0
5436.png,0,1
8853.png,1,1
9581.png,6,0
4902.png,0,1
450.png,4,0
1649.png,0,1
1339.png,7,0
3248.png,0,0
7984.png,6,1
9759.png,1,1
1477.png,7,0
4490.png,5,1
4484.png,4,0
2793.png,1,1
3472.png,0,1
4686.png,1,1
281.png,4,0
3671.png,4,0
8724.png,0,1
7417.png,7,0
7371.png,2,0
2553.png,3,1
3842.png,3,1
7167.png,3,0
9176.png,8,1
727.png,4,0
8297.png,2,1
8452.png,3,0
4268.png,5,0
874.png,6,0
5837.png,0,1
7946.png,3,0
1112.png,1,1
8888.png,1,1
1674.png,4,0
445.png,0,1
8877.png,1,0
2380.png,4,1
5438.png,0,1
1886.png,6,1
3061.png,3,1
6496.png,5,1
651.png,2,0
889.png,3,0
1460.png,5,0
8322.png,3,0
8444.png,3,0
5955.png,4,0
2784.png,4,0
5996.png,6,0
5000.png,4,0
7617.png,1,1
241.png,0,1
2237.png,2,1
3883.png,1,1
3115.png,3,0
9438.png,1,1
7400.png,2,1
283.png,4,1
8041.png,2,0
9363.png,3,0
3841.png,3,1
4848.png,3,0
5983.png,0,1
5968.png,1,0
8294.png,3,0
7831.png,3,1
5149.png,0,1
9015.png,3,0
4531.png,1,0
7945.png,3,0
5363.png,3,0
8135.png,1,0
3706.png,0,1
452.png,6,0
5388.png,3,1
6685.png,8,1
9549.png,6,1
5373.png,4,1
4051.png,2,1
2346.png,1,0
6134.png,2,1
2811.png,3,1
3272.png,2,0
8327.png,7,0
6336.png,3,0
2781.png,6,1
3474.png,6,0
5005.png,4,1
5777.png,0,1
3879.png,8,1
6929.png,0,1
4694.png,3,1
5575.png,6,1
8737.png,6,0
2226.png,5,0
6040.png,4,0
6055.png,6,1
6519.png,0,1
2019.png,3,1
5004.png,4,0
4520.png,5,1
3273.png,5,0
4508.png,2,1
7001.png,0,1
9560.png,3,1
9212.png,1,0
8642.png,7,0
3717.png,6,1
1670.png,4,0
8654.png,3,0
2351.png,7,0
2812.png,3,0
7771.png,3,1
1300.png,0,1
2796.png,1,1
6296.png,3,1
5947.png,4,0
4867.png,1,1
535.png,8,1
6094.png,3,0
2219.png,1,1
6057.png,1,1
2230.png,1,1
9403.png,4,0
9371.png,5,0
9359.png,3,1
534.png,4,1
520.png,7,0
1249.png,2,1
8251.png,2,0
2783.png,8,1
4523.png,4,0
8443.png,1,1
124.png,7,0
2350.png,3,1
3099.png,4,1
7298.png,7,0
4949.png,3,0
6838.png,3,0
3968.png,0,1
4034.png,4,0
7515.png,2,1
2653.png,8,1
9074.png,3,1
8424.png,6,1
6409.png,3,0
1366.png,4,0
7887.png,3,1
2733.png,6,1
2055.png,3,0
7677.png,0,1
4183.png,2,1
9316.png,4,0
3809.png,4,1
1575.png,1,1
8551.png,0,1
1213.png,4,0
963.png,5,1
6540.png,0,0
8431.png,1,1
181.png,1,1
3202.png,6,1
8343.png,0,1
6420.png,0,1
5129.png,1,1
5.png,4,0
6434.png,4,0
7925.png,0,1
94.png,4,1
8141.png,6,0
3014.png,3,1
432.png,7,0
8814.png,3,1
4784.png,5,0
342.png,6,1
4989.png,0,1
2320.png,4,0
9507.png,1,1
5473.png,2,1
4779.png,4,0
1167.png,4,1
6608.png,7,1
9088.png,3,1
801.png,4,1
6350.png,3,1
1365.png,5,0
197.png,3,0
7853.png,3,0
7847.png,2,1
3360.png,6,0
6797.png,3,1
5249.png,0,1
6033.png,1,0
3375.png,1,1
948.png,5,1
4426.png,6,1
2057.png,0,1
2679.png,7,0
2123.png,0,1
5472.png,4,0
9248.png,3,1
8803.png,3,1
8152.png,1,1
623.png,3,0
9099.png,1,1
7077.png,3,1
2669.png,3,1
2.png,3,0
810.png,0,1
9700.png,4,0
1214.png,1,0
1016.png,2,1
5270.png,3,1
1770.png,8,1
6750.png,3,1
5517.png,3,0
9339.png,0,1
1956.png,1,1
9113.png,2,1
965.png,4,0
3370.png,1,1
7738.png,3,1
2126.png,3,1
3576.png,2,1
3562.png,6,0
839.png,4,1
2873.png,7,0
9503.png,7,0
2324.png,0,1
350.png,6,1
6197.png,4,1
8179.png,2,1
9515.png,3,0
608.png,3,0
7921.png,2,1
4353.png,5,1
8964.png,0,1
5515.png,4,1
7302.png,3,0
4145.png,5,0
4622.png,3,1
9312.png,0,0
5266.png,7,0
6009.png,7,0
2290.png,1,1
1799.png,1,1
1202.png,3,1
4408.png,4,0
8352.png,2,0
1376.png,2,1
7713.png,0,1
2333.png,3,0
8144.png,2,1
7511.png,3,1
