image_name,class_label,accuracy
661.png,4,0
7790.png,4,0
5839.png,6,0
3521.png,4,0
9018.png,3,0
8306.png,8,1
2165.png,1,0
2617.png,4,0
9193.png,2,1
7141.png,8,1
5756.png,0,1
7357.png,4,0
5540.png,1,1
4662.png,2,1
3118.png,6,0
6060.png,6,1
5555.png,4,0
3859.png,5,0
516.png,3,1
6276.png,1,1
5743.png,6,1
7632.png,2,1
1243.png,0,1
2164.png,4,0
9019.png,7,0
3246.png,7,1
3520.png,5,1
1653.png,4,0
8111.png,2,1
3939.png,1,1
4926.png,3,0
3085.png,7,1
9580.png,3,1
5423.png,2,1
6670.png,0,1
7963.png,6,1
1321.png,3,0
9027.png,1,1
2947.png,1,0
5755.png,3,0
7624.png,6,0
2748.png,4,0
1527.png,3,0
1269.png,3,0
3898.png,0,1
299.png,4,0
4107.png,5,0
6711.png,2,1
298.png,3,1
4847.png,0,1
7631.png,4,0
8270.png,3,1
9185.png,2,0
4270.png,4,1
6329.png,3,1
5807.png,6,0
105.png,3,0
3047.png,3,1
8112.png,0,1
6881.png,5,0
8660.png,3,0
7553.png,3,1
3923.png,5,0
4043.png,6,0
2340.png,2,1
3076.png,6,1
6668.png,2,1
3704.png,6,1
7748.png,5,0
875.png,0,1
2142.png,0,1
1463.png,3,1
6085.png,1,0
4692.png,3,1
1098.png,4,1
4889.png,4,0
1729.png,3,0
2221.png,3,0
9412.png,2,1
6906.png,7,0
8240.png,4,1
3473.png,4,1
2779.png,4,0
6286.png,3,0
1476.png,3,1
8308.png,1,0
6443.png,6,0
7749.png,3,1
2816.png,7,1
5189.png,6,1
109.png,4,0
5412.png,1,1
6641.png,1,1
4083.png,0,1
1845.png,0,1
447.png,3,0
4901.png,2,1
1138.png,4,0
6119.png,3,1
2828.png,1,1
6333.png,5,0
5606.png,3,0
7824.png,0,1
7165.png,3,1
1925.png,0,1
4120.png,3,1
7429.png,7,0
5559.png,6,0
3869.png,6,1
6093.png,3,1
7602.png,0,1
4486.png,1,1
7038.png,6,0
644.png,8,1
3060.png,3,1
4069.png,5,0
6656.png,5,0
3909.png,4,0
4914.png,3,0
8860.png,0,1
8874.png,4,0
8131.png,3,1
5401.png,8,1
8643.png,2,1
1129.png,3,0
132.png,5,1
5818.png,0,1
4290.png,3,1
6487.png,0,1
3500.png,3,1
6444.png,3,0
708.png,1,0
8521.png,0,1
4327.png,5,0
278.png,0,1
8723.png,4,0
1049.png,1,1
9366.png,4,0
8736.png,4,0
2743.png,2,1
5776.png,4,1
8520.png,2,1
3475.png,3,0
6445.png,3,1
7015.png,0,1
2179.png,6,0
9206.png,0,1
2421.png,3,0
3059.png,1,1
6690.png,1,1
4911.png,5,1
4913.png,2,0
6862.png,4,0
5358.png,4,0
6309.png,3,0
3503.png,6,1
2635.png,0,1
7188.png,3,0
253.png,3,1
1062.png,0,1
1739.png,1,0
4127.png,0,1
5239.png,5,0
2595.png,1,0
4872.png,5,0
2032.png,0,1
4457.png,2,1
905.png,3,1
7980.png,2,0
4537.png,0,1
6452.png,6,1
31.png,0,1
5615.png,1,0
1467.png,3,0
2422.png,3,0
5359.png,0,1
8801.png,1,0
1158.png,3,0
6145.png,5,0
5302.png,8,1
4008.png,0,0
2690.png,3,1
157.png,0,1
816.png,3,0
5048.png,6,0
9100.png,3,0
5712.png,3,1
3377.png,1,1
1945.png,0,1
4140.png,7,0
1776.png,0,1
3175.png,4,0
5277.png,7,0
234.png,1,1
4196.png,7,0
1788.png,8,1
1561.png,5,1
4425.png,2,1
2929.png,5,0
2097.png,0,1
5934.png,7,0
778.png,3,1
8425.png,3,1
5698.png,4,1
5303.png,4,1
2444.png,1,1
3982.png,4,0
3969.png,8,1
1832.png,4,0
4962.png,3,0
381.png,4,0
5467.png,6,0
7270.png,4,0
4584.png,5,1
3200.png,7,0
5103.png,1,1
5936.png,7,0
1239.png,3,1
7884.png,8,1
1577.png,3,1
3837.png,4,0
9467.png,6,0
2532.png,0,1
1991.png,8,1
7310.png,4,0
8989.png,0,1
4630.png,5,0
9466.png,3,1
9300.png,5,0
9670.png,7,1
7715.png,3,1
6.png,1,1
8368.png,3,1
40.png,0,1
5843.png,5,1
3598.png,2,0
5466.png,3,1
3765.png,1,0
8195.png,1,1
419.png,6,1
5489.png,7,0
5476.png,3,1
2331.png,1,0
5674.png,3,1
6433.png,7,1
7856.png,5,0
2721.png,0,1
4807.png,1,1
227.png,4,0
5264.png,0,1
1980.png,0,1
2522.png,0,0
2244.png,0,1
4635.png,2,1
2536.png,1,1
7300.png,1,1
5265.png,1,0
4812.png,5,1
6585.png,1,0
7857.png,4,0
9715.png,7,0
8351.png,0,1
2456.png,0,1
4741.png,6,1
3006.png,7,0
1177.png,0,0
8806.png,3,1
6195.png,4,1
1188.png,6,1
8184.png,2,1
6801.png,1,0
422.png,0,1
3789.png,0,0
6183.png,1,1
1161.png,0,1
6154.png,6,0
9273.png,1,1
2871.png,1,1
146.png,0,1
6381.png,4,0
3206.png,1,0
1411.png,6,0
7048.png,0,1
998.png,4,1
2911.png,1,1
2093.png,8,1
7114.png,7,0
9139.png,1,0
1559.png,3,1
3825.png,4,1
3164.png,3,1
5267.png,8,1
7316.png,3,1
9461.png,6,1
8019.png,3,0
2509.png,4,0
6545.png,3,1
5070.png,4,0
741.png,3,0
46.png,2,1
3207.png,0,1
3575.png,0,1
8391.png,1,1
7539.png,4,0
8636.png,2,1
1174.png,3,0
4795.png,3,0
379.png,2,0
8805.png,7,1
